Prof_Course		The instructor provided clearly defined expectations.	The instructor used teaching methods that facilitated my learning.	"The instructor encouraged me to take a role in my own learning, to ask questions, and to participate."	The instructor was well prepared to teach.	The instructor was available outside of class either electronically or in person.	The instructor is one whom I would recommend to other students.
	N	28	27	28	28	28	28
"Kearny,Henry:EE-2440-001-CIRCUIT ANALYSIS WITH LAB"	Mean	3.6923	3	3.6923	4.0769	3.6923	2.7692
	N	13	13	13	13	13	13
"Keller,Angela:ANTH-2339-001-ARCHEOLOGY"	Mean	4.5152	4.4848	4.4848	4.6667	4.4545	4.5758
	N	33	33	33	33	33	33
"Keller,Angela:ANTH-4350-001-MESOAMERICAN ARCHAEOLOGY"	Mean	4.75	4.65	4.6	4.9	4.4737	4.8
	N	20	20	20	20	19	20
"Keller,David:KINE-1400-002-INTRO TO EXERCISE SCIENCE"	Mean	4.7045	4.6364	4.6591	4.8182	4.6279	4.8864
	N	44	44	44	44	43	44
"Keller,David:KINE-5389-001-RESEARCH MANUSCRIPT SUBMISSION"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Kelly,Kathy:ECON-3303-001-MONEY & BANKING"	Mean	4.4444	4.3056	3.8889	4.6944	4.3143	4.3611
	N	36	36	36	36	35	36
"Kelly,Kathy:ECON-3303-002-MONEY & BANKING"	Mean	4.3667	4.0345	4.0333	4.6667	4.3571	4.3214
	N	30	29	30	30	28	28
"Kelly,Kathy:ECON-3303-003-MONEY & BANKING"	Mean	4.5532	4.3261	4.3261	4.6809	4.3043	4.5319
	N	47	46	46	47	46	47
"Kelly,Kathy:ECON-3303-004-MONEY & BANKING"	Mean	4.6341	4.1429	3.9048	4.7619	4.4762	4.4634
	N	41	42	42	42	42	41
"Kelly,Kathy:ECON-4321-001-INTERNATIONAL TRADE"	Mean	4.7097	4.4839	4.129	4.8065	4.5484	4.6452
	N	31	31	31	31	31	31
"Kenarangui,Rasool:EE-3302-002-FUNDAMENTALS OF POWER SYSTEMS"	Mean	3.2727	2.8182	3.9545	3.4545	3.5714	3.0476
	N	22	22	22	22	21	21
"Kenarangui,Rasool:EE-5308-001-PWR SYS MODELING AND ANALYSIS"	Mean	3.8	3.7333	3.9286	3.8667	4.0714	3.8571
	N	15	15	14	15	14	14
"Kenarangui,Rasool:NE-3301-001-INTRODUCTION TO NUCLEAR ENGINEERING"	Mean	3.6364	3.3636	3.8182	3.7273	4.2727	3.9091
	N	11	11	11	11	11	11
"Kenworthy,Jared:PSYC-3144-002-SOCIAL PROCESSES LAB"	Mean	4.4667	4.4	4.625	4.4667	4.625	4.625
	N	15	15	16	15	16	16
"Khalili Najafabadi,Bahra:CSE-3310-001-FUNDAMENTALS OF SOFTWARE ENGR"	Mean	4.6667	4.5926	4.6667	4.7778	4.6667	4.7778
	N	27	27	27	27	27	27
"Khalili Najafabadi,Bahra:CSE-3316-001-PROFESSIONAL PRACTICES"	Mean	4.6364	4.6364	4.4545	4.6364	4.5455	4.6364
	N	11	11	11	11	11	11
"Khan,Aamir:FINA-4318-001-PORTFOLIO MGMT & SEC ANALYSIS"	Mean	3.7143	3.4286	4.1429	4	4.5	3.5385
	N	14	14	14	14	14	13
"Khan,Aamir:INSU-4330-001-LIFE & HEALTH RISK MGMT"	Mean	4.7	4.5	4.5333	4.5	4.4	4.6333
	N	30	30	30	30	30	30
"Khan,Harun:MAE-3242-001-MECHANICAL DESIGN I"	Mean	4.6452	4.2903	4.4516	4.7419	4.6667	4.7667
	N	31	31	31	31	30	30
"Khare,Adwait:MARK-4311-002-MARKETING RESEARCH"	Mean	4.2778	4.4444	4.6111	4.7222	4.6111	4.6667
	N	18	18	18	18	18	18
"Khare,Adwait:MARK-4325-001-INTERNATIONAL MARKETING"	Mean	4.4074	4.1852	4.4231	4.6296	4.6154	4.2593
	N	27	27	26	27	26	27
"Khavul,Susanna:MANA-5333-001-TECHNOLOGY MANAGEMENT"	Mean	4.7	4.8	4.7	4.85	4.65	4.8333
	N	20	20	20	20	20	18
"Khavul,Susanna:MANA-5339-001-ENTREPRENEURSHIP"	Mean	4.5263	4.5128	4.6667	4.7568	4.641	4.6316
	N	38	39	39	37	39	38
"Kilpatrick,Cynthia:LING-4301-001-PHONOLOGICAL THEORY I"	Mean	4	4	4	4	4	4
	N	1	1	1	1	1	1
"Kilpatrick,Cynthia:LING-5320-001-PHONOLOGICAL THEORY"	Mean	4.8571	4.8571	4.8571	5	5	5
	N	7	7	7	7	7	7
"Kim,Daejong:MAE-3318-001-KINEMATICS & DYNAMICS MACHINES"	Mean	2.3478	1.8261	2.3478	2.8261	3.1304	1.6522
	N	23	23	23	23	23	23
"Kim,Daejong:MAE-4301-005-SPEC TOPICS MECH & AERO ENGR"	Mean	2.6667	2.6667	3.3333	3	3.3333	2.6667
	N	3	3	3	3	3	3
"Kim,Daejong:ME-5390-001-SPEC TOPICS MECH ENGR"	Mean	4	4.5	5	4.75	4.75	4.75
	N	4	4	4	4	4	4
"Kim,Hee Yeun:PHYS-1441-009-GENERAL COLLEGE PHYSICS I"	Mean	4.2	4.15	4.1579	4.3684	3.95	4.1667
	N	20	20	19	19	20	18
"Kim,Hee Yeun:PHYS-1441-017-GENERAL COLLEGE PHYSICS I"	Mean	4.3077	4.1538	4.0385	4.5	3.75	4.375
	N	26	26	26	26	24	24
"Kim,Jin-Woo:MARK-3321-005-PRINCIPLES OF MARKETING"	Mean	3.5	3.3529	3.6176	3.6471	3.7941	3.3939
	N	34	34	34	34	34	33
"Kim,Mi:ART-3354-001-SIGN AND SYMBOL"	Mean	3.3077	3.1538	4.25	3.5385	3.8462	3.3846
	N	13	13	12	13	13	13
"Kim,Mi:ART-3354-002-SIGN AND SYMBOL"	Mean	3.9	3.5	4.1	4	4.3	3.7
	N	10	10	10	10	10	10
"Kim,Mi:ART-3356-001-ELECTRONIC DESIGN"	Mean	3.7778	3.5556	4	3.2222	4	3.2222
	N	9	9	9	9	9	9
"Kim,Soo:MUSI-0115-001-MUSICAL THEATRE / OPERA LAB"	Mean	4.4286	4.4286	4.5714	4.8571	4.6667	5
	N	7	7	7	7	6	7
"Kim,Young-Tae:BE-4325-012-FUNDAMENTALS OF BIOENGINEERING"	Mean	4.6923	4.5385	4.5385	4.7692	4.6154	4.6923
	N	13	13	13	13	13	13
"King,Jeffrey:ENGL-1302-006-CRITICAL THINK, READ, WRITE"	Mean	4.4545	4.3636	4.2727	4.5455	4.5455	4.3636
	N	11	11	11	11	11	11
"King,Jeffrey:ENGL-1302-012-CRITICAL THINK, READ, WRITE"	Mean	4.0667	3.6667	4.2	4.3333	4.4	3.9333
	N	15	15	15	15	15	15
"Kinkead,April:ENGL-1301-018-EXPOS WRITING"	Mean	4.4167	4.25	4.5833	4.4583	4.7083	4.5833
	N	24	24	24	24	24	24
"Kinkead,April:ENGL-1301-024-EXPOS WRITING"	Mean	3.9375	3.7273	4.3333	4.1515	4.4848	4.0303
	N	32	33	33	33	33	33
"Kirby,Roger:MATH-1302-016-COLLEGE ALGEBRA"	Mean	3.087	3.0435	3.0455	3.5652	3.3913	3
	N	23	23	22	23	23	23
"Kirby,Roger:MATH-1426-001-CALCULUS I"	Mean	3.25	2.75	2.96	2.6	3.1739	2.3333
	N	24	24	25	25	23	24
"Kirby,Roger:MATH-2326-001-CALCULUS III"	Mean	3.7333	3.1	3.3667	3.3448	3.5667	3.0667
	N	30	30	30	29	30	30
"Kirkham,Karalee:ADVT-2337-002-INTRO TO ADVERTISING"	Mean	4.1607	3.7143	4.0909	4.0357	4.2182	4.0357
	N	56	56	55	56	55	56
"Kirkham,Karalee:ADVT-3305-002-ADVERTISING MEDIA"	Mean	4.5833	4.6667	4.5833	4.5833	4.75	4.75
	N	12	12	12	12	12	12
"Klahr,Douglas:ARCH-2303-001-HISTORY OF ARCHITECTURE I"	Mean	4.5254	4.4576	4.1897	4.7333	4.4833	4.661
	N	59	59	58	60	60	59
"Klahr,Douglas:ARCH-5303-001-HISTORY OF ARCHITECTURE I"	Mean	5	4	5	5	5	5
	N	1	1	1	1	1	1
"Klahr,Douglas:INTD-3305-001-HISTORY OF INTERIOR DESIGN"	Mean	4.8462	4.9231	4.9231	4.9167	4.7692	4.9231
	N	13	13	13	12	13	13
"Klein,Andrew:ART-3354-003-SIGN AND SYMBOL"	Mean	4.8333	4.5	4.8333	4.8333	4.8333	5
	N	6	6	6	6	6	6
"Koc,Cagatay:ECON-3301-001-THE ECONOMICS OF HEALTH"	Mean	3.8511	3.4255	3.6596	4.087	3.6809	3.2609
	N	47	47	47	46	47	46
"Koc,Cagatay:ECON-4311-001-ECONOMICS FOR MANAGERS"	Mean	4.3913	4.087	4.1739	4.4783	4.087	4.2609
	N	23	23	23	23	23	23
"Koc,Cagatay:ECON-5329-001-RESRCH METHODS IN APPLIED ECON"	Mean	4.1875	4.125	4.5	4.4667	4.25	4.1333
	N	16	16	16	15	16	15
"Kojouharov,Hristo:HONR-SC-4103-001-ADVANCED SPECIAL TOPICS"	Mean	3.6667	3.6667	3.6667	3.6667	3	3.6667
	N	3	3	3	3	2	3
"Kojouharov,Hristo:MATH-3345-001-NUM ANLYS & COMPUTER APPS"	Mean	4.5882	4.5882	4.5882	4.8824	4.6471	4.8235
	N	17	17	17	17	17	17
"Kojouharov,Hristo:MATH-4150-001-SEMINAR IN MATH BIOLOGY"	Mean	4.8	4.8	4.8	4.8	5	5
	N	5	5	5	5	5	5
"Kojouharov,Hristo:MATH-5373-001-NUM SOLUTION ORDINARY DIFF EQS"	Mean	4.5556	4.5556	4.4444	4.7778	4.8889	5
	N	9	9	9	9	9	9
"Kologey,Frank:MATH-0301-002-THEA TEST PREPARATION"	Mean	4.4643	4.3929	4.4286	4.8077	4.5385	4.5714
	N	28	28	28	26	26	28
"Kologey,Frank:MATH-0301-003-THEA TEST PREPARATION"	Mean	4.6061	4.6061	4.6471	4.7647	4.5152	4.7813
	N	33	33	34	34	33	32
"Kologey,Frank:MATH-0302-004-FUNDAMENTALS OF ALGEBRA"	Mean	4.5	4.5	4.625	4.625	4.7143	4.875
	N	8	8	8	8	7	8
"Kologey,Frank:MATH-0302-005-FUNDAMENTALS OF ALGEBRA"	Mean	4.5536	4.4727	4.5455	4.6607	4.5893	4.6863
	N	56	55	55	56	56	51
"Kondraske,George:EE-4340-001-CONCEPTS & EXERCISES ENGR PRAC"	Mean	4.6667	4.381	4.619	4.7619	4.5238	4.5238
	N	21	21	21	21	21	21
"Kondraske,George:EE-4349-001-ENGINEERING DESIGN PROJECT"	Mean	3.2	3.5333	4.5333	3.8667	4.3333	3.7333
	N	15	15	15	15	15	15
"Kondraske,George:EE-4349-002-ENGINEERING DESIGN PROJECT"	Mean	3.8	3.6667	4.3333	4.3333	4.1667	3.8333
	N	5	6	6	6	6	6
"Kopchick,Laura:ENGL-3375-001-CREATIVE WRITNG"	Mean	4.55	4.7368	4.9	4.9	4.9	4.8947
	N	20	19	20	20	20	19
"Kopchick,Laura:ENGL-3375-002-CREATIVE WRITNG"	Mean	4.8	4.7	4.85	4.9	4.8	4.8
	N	20	20	20	20	20	20
"Kopchick,Laura:ENGL-4330-002-ADVANCED LITERARY WRITING"	Mean	4.9375	4.9375	4.9375	4.9375	4.9375	4.9375
	N	16	16	16	16	16	16
"Korzeniowski,Andrzej:MATH-5317-001-REAL ANALYSIS FOR MATH SCIENCE"	Mean	4.4286	4.2143	4.5	4.5714	4.2857	4.3571
	N	14	14	14	14	14	14
"Kosc,Gregory:HIST-4388-002-SEL TOP HIST"	Mean	4.9167	4.8333	4.9167	5	5	4.8333
	N	12	12	12	12	11	12
"Krasij,Mark:MATH-1330-003-ARITHMETICAL PROBLEM SOLVING"	Mean	4.2632	4.25	4.65	4.5	4.1	4.5
	N	19	20	20	20	20	20
"Krasij,Mark:MATH-1330-005-ARITHMETICAL PROBLEM SOLVING"	Mean	4.5652	4.2609	4.5217	4.6522	4.4348	4.4348
	N	23	23	23	23	23	23
"Krasij,Mark:MATH-1332-002-FUNCTIONS, DATA, & APPLICATION"	Mean	4.36	4	4.375	4.6	4.16	4.56
	N	25	25	24	25	25	25
"Krasij,Mark:MATH-1332-003-FUNCTIONS, DATA, & APPLICATION"	Mean	4.2174	3.913	4.3478	4.4348	4.4348	4.4286
	N	23	23	23	23	23	21
"Krasij,Mark:MATH-4350-001-PRECAL FOR MID-LEVEL MATH"	Mean	4.2963	3.8846	4.1154	4.3704	4.2963	4.2222
	N	27	26	26	27	27	27
"Krasnozhon,Leonid:ECON-2305-006-PRIN MACRO ECO"	Mean	3.7174	3.5333	4.0652	4.0652	3.7174	3.5217
	N	46	45	46	46	46	46
"Krasnozhon,Leonid:ECON-2305-007-PRIN MACRO ECO"	Mean	4.0645	4.0625	4.3548	4.4516	3.7812	4.0938
	N	31	32	31	31	32	32
"Krasnozhon,Leonid:ECON-5311-001-ECONOMIC ANALYSIS"	Mean	4.1852	4.1273	4	4.3818	3.9245	4.2
	N	54	55	55	55	53	55
"Krawietz,Paul:KINE-3300-001-FUNCTIONAL ANATOMY"	Mean	4.5238	4.2143	4.3571	4.1707	4.3571	4.425
	N	42	42	42	41	42	40
"Krawietz,Paul:KINE-3320-001-LOWER EXTREMITY EVALUATION"	Mean	4.7083	4.6667	4.7917	4.8261	4.875	4.7826
	N	24	24	24	23	24	23
"Krawietz,Paul:KINE-4233-001-ATHLETIC TRAINING ORGN & ADMN"	Mean	3.8333	3.8333	4	3.8333	4.1667	4.1667
	N	6	6	6	6	6	6
"Kribs Zaleta,Christopher:MATH-5375-001-WHOLE NUMBERS/OPS IN K-8 MATH"	Mean	3.96	3.8	4.16	4.24	4.32	3.6
	N	25	25	25	25	25	25
"Kroll,Peter:CHEM-3321-001-PHYSICAL CHEMISTRY I"	Mean	4.5556	4.5556	4.8889	4.9444	4.6667	4.2778
	N	18	18	18	18	18	18
"Kroll,Peter:CHEM-4101-001-SEMINAR IN CHEMISTRY"	Mean	4.6111	4.3889	4.5556	4.4444	4.3889	4.5
	N	18	18	18	18	18	18
"Kroll,Peter:CHEM-5203-001-QUANTUM CHEMISTRY"	Mean	4.3	4.2	4.6	4.6	4.4	4.2
	N	10	10	10	10	10	10
"Krueger,Carole:MATH-1323-001-PRECALCULUS II"	Mean	4.2069	3.6429	3.7778	4.3103	4.069	3.2414
	N	29	28	27	29	29	29
"Krueger,Carole:MATH-1323-005-PRECALCULUS II"	Mean	4.3571	4.3571	4.4286	4.6429	4.2857	4.2857
	N	14	14	14	14	14	14
"Krueger,Carole:MATH-3335-001-ANALYSIS I"	Mean	2.7143	2.8571	3.4286	3.381	3.7143	2.2857
	N	21	21	21	21	21	21
"Kruzic,Andrew:CE-4355-001-WATER/WASTE TRTMENT FACILITIES"	Mean	4	3.6	4.4	4	4.6	3.75
	N	5	5	5	5	5	4
"Kruzic,Andrew:CE-4383-001-SENIOR PROJECT"	Mean	3.5	3.2963	4.2593	3.5714	4.5	3.7143
	N	28	27	27	28	28	28
"Kruzic,Andrew:CE-5326-001-WATER/WASTE TRMT FACILITY DSGN"	Mean	4	3.75	4	4	4.25	4
	N	4	4	4	4	4	4
"Kuhner,Craig:ARCH-3553-001-DESIGN STUDIO: ARCHITECTURE I"	Mean	3.3333	3.3125	3.75	3.375	3.4375	3.4667
	N	15	16	16	16	16	15
"Kuhner,Craig:ARCH-4395-005-SELECTED TOPICS ARCH"	Mean	4.5	4.5	4.5	4.5	4.25	4.25
	N	4	4	4	4	4	4
"Kuhner,Craig:ARCH-5395-005-TOPICS IN ARCHITECTURE"	Mean	5	4	5	5	4	5
	N	1	1	1	1	1	1
"Kulesz,Peggy:ENGL-2329-702-AMERICAN LIT"	Mean	3.8	3.76	3.88	3.84	3.88	3.48
	N	25	25	25	25	25	25
"Kulesz,Peggy:ENGL-3370-001-WOMEN IN LITERATURE"	Mean	4.6923	4.6923	4.7692	4.8462	4.75	4.7692
	N	13	13	13	13	12	13
"Kumar,Mohan:CSE-5311-001-DSGN & ANLY ALGORITHMS"	Mean	4.1111	3.7895	4.2105	4.3158	4.6316	4.1053
	N	18	19	19	19	19	19
"Kumar,Mohan:CSE-6349-001-SPEC TOPS ADV NETWORKS"	Mean	4.2222	3.7778	4.1111	4.2222	4.3333	4.1111
	N	9	9	9	9	9	9
"Kumar,Ratan:MAE-1104-001-INTRODUCTION TO ENGINEERING"	Mean	3.6632	3.4375	3.5053	3.8421	3.4583	3.617
	N	95	96	95	95	96	94
"Kumar,Ratan:MAE-1104-002-INTRODUCTION TO ENGINEERING"	Mean	4.2469	4.1235	4.0625	4.3951	4.1235	4.125
	N	81	81	80	81	81	80
"Kumar,Ratan:MAE-1104-003-INTRODUCTION TO ENGINEERING"	Mean	3.7317	3.6463	3.5185	3.9024	3.7407	3.5732
	N	82	82	81	82	81	82
"Kumar,Ratan:MAE-4342-001-MECHANICAL DESIGN II"	Mean	4.6316	4.4211	4.4211	4.6842	4.6316	4.7368
	N	19	19	19	19	19	19
"Kung,David:CSE-4361-001-SOFTWARE DESIGN PATTERNS"	Mean	4.3571	4.4286	4.4286	4.5	4.8182	4.5385
	N	14	14	14	14	11	13
"Kung,David:CSE-5321-001-SOFTWARE TESTING"	Mean	4.2632	4.1053	4.0526	4.3684	4.2105	4.4737
	N	19	19	19	19	19	19
"Kung,David:CSE-5322-001-SOFTWARE DESIGN PATTERNS"	Mean	4.3636	4.2381	4.4091	4.5238	4.5909	4.5
	N	22	21	22	21	22	22
"Kunkel,Jerald:ARCH-4321-001-STRUCTURAL SYSTEMS BLDGS"	Mean	3.75	4	3.8333	4.6923	4	4.85
	N	4	6	6	13	5	20
"Kunkel,Jerald:ARCH-5327-001-ARCHITECTURAL STRUCTURES II"	Mean	3.5	3.75	3.8	4.4	4.25	4.8462
	N	4	4	5	10	4	13
"Kunkel,Jerald:ARCH-5328-001-ARCHITECTURAL STRUCTURES III"	Mean	4.5	4.8333	4	4.4	3.75	5
	N	6	6	3	5	4	7
"Kunkel,Jerald:ARCH-5395-011-TOPICS IN ARCHITECTURE"	Mean	4.6	4.8	4.8	4.6	4.8	5
	N	5	5	5	5	5	4
"Kunovich,Robert:SOCI-3462-001-SOCIAL RESEARCH"	Mean	4.75	4.5652	4.625	4.8261	4.913	4.7917
	N	24	23	24	23	23	24
"Kunovich,Robert:SOCI-5304-001-SOCIAL STATISTICS I"	Mean	4.6667	4.6111	4.6111	4.8889	4.7222	4.7222
	N	18	18	18	18	18	18
"Kyle,Donald:HIST-2301-002-HISTORY OF CIVILIZATION"	Mean	4.3143	4.0571	4.2353	4.6471	4.3235	4.2571
	N	35	35	34	34	34	35
"Kyle,Donald:HIST-2301-003-HISTORY OF CIVILIZATION"	Mean	4.2105	4.05	4.3	4.7727	4.3636	4.3333
	N	19	20	20	22	22	21
"Kyle,Donald:HIST-3374-001-ANCIENT GREECE"	Mean	4.7619	4.8095	4.7143	4.9524	4.9524	4.8095
	N	21	21	21	21	21	21
"Lacefield,Gary:BCOM-3360-002-EFFECTIVE BUSINESS COMMUNICATI"	Mean	4.8	4.7	4.7	4.7	4.8	4.8
	N	10	10	10	10	10	10
"Lacefield,Gary:BCOM-3360-003-EFFECTIVE BUSINESS COMMUNICATI"	Mean	4.6471	4.7059	4.6471	4.7647	4.7059	4.7879
	N	34	34	34	34	34	33
"Lacefield,Gary:BCOM-3360-004-EFFECTIVE BUSINESS COMMUNICATI"	Mean	4.6471	4.625	4.7647	4.75	4.6471	4.875
	N	17	16	17	16	17	16
"Lacefield,Gary:BCOM-5375-001-ADV BUS COMM THEOR & PRAC"	Mean	4.5	4.5278	4.5278	4.5556	4.4722	4.5143
	N	36	36	36	36	36	35
"Lacy,Scott:MATH-1302-003-COLLEGE ALGEBRA"	Mean	3.7778	3.1957	4.0652	3.6957	4.1957	3.4348
	N	45	46	46	46	46	46
"Lakshminarayanan,R:MAE-2360-003-NUMERICAL ANALYSIS/PROGRAMMING"	Mean	3.1786	3	3.5	2.963	3.8214	2.75
	N	28	27	28	27	28	28
"Lakshminarayanan,R:MAE-3310-001-THERMODYNAMICS I"	Mean	2.7857	2.4286	2.9024	3.0238	3.3095	2.5238
	N	42	42	41	42	42	42
"Lambert,Jason:MANA-3319-002-MGT PROCESS THR"	Mean	4.3437	4.2727	4.3333	4.4242	4.2727	4.4375
	N	32	33	33	33	33	32
"Lamichhane,Tej Nath:PHYS-1444.007-GENERAL TECHNICAL PHYSICS II"	Mean	3.7692	3.8	3.6667	3.8462	3.6	3.7143
	N	13	15	15	13	15	14
"Lamichhane,Tej Nath:PHYS-1444.009-GENERAL TECHNICAL PHYSICS II"	Mean	4.1905	3.913	4	4.2857	3.6818	4.0476
	N	21	23	22	21	22	21
"Lane,Stefanie:MATH-1302-013-COLLEGE ALGEBRA"	Mean	3.0682	2.5455	2.8636	2.9302	3.3023	2.3023
	N	44	44	44	43	43	43
"Lang,Jara:AS-4301-001-NATL SECURITY AFF/ ACTIVE DUTY"	Mean	3.5714	4.1429	4.7143	3.8571	4.7143	4.2857
	N	7	7	7	7	7	7
"Lapthisophon,Stephen:ART-3347-002-ADVANCED DRAWING"	Mean	4.5714	4.8462	4.7143	4.6429	4.6154	4.7143
	N	14	13	14	14	13	14
"Lapthisophon,Stephen:ART-3392-001-HISTORY OF VIDEO"	Mean	4.3636	4.3182	4.6364	4.5714	4.5789	4.65
	N	22	22	22	21	19	20
"Lapthisophon,Stephen:ART-4391-015-INDEPENDENT STUDY"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Lapthisophon,Stephen:ART-5320-002-ART CRITICISM & THEORY"	Mean	4.375	4.375	4.75	4.75	4.875	4.875
	N	8	8	8	8	8	8
"Lapthisophon,Stephen:ART-5360-002-TOPS IN HISTORY ART & DESIGN"	Mean	5	5	5	5	5	5
	N	2	2	2	2	2	2
"Lauster,Darryl:ART-4373-001-ADV 3D STUDIES"	Mean	4.8571	4.7143	4.8571	5	5	5
	N	7	7	7	7	7	7
"Lauster,Darryl:ART-5340-001-RESEARCH IN INTERMEDIA"	Mean	4.8	4.8333	4.8333	4.8333	5	5
	N	5	6	6	6	6	6
"Lavelle,James:MANA-5330-001-NEGOTIATIONS & CONFLICT MGMT"	Mean	4.0833	4.3333	4.3333	4.3333	4.25	4.5417
	N	24	24	24	24	24	24
"Lavelle,James:MANA-5330-002-NEGOTIATIONS & CONFLICT MGMT"	Mean	4.4737	4.6842	4.7895	4.7368	4.4211	4.7895
	N	19	19	19	19	19	19
"Lawrence,Kent:MAE-3316-001-AEROSPACE STRUCTURAL DYNAMICS"	Mean	4.8571	4.8571	4.7143	5	5	5
	N	7	7	7	7	7	7
"Lawrence,Kent:MAE-4314-001-MECHANICAL VIBRATIONS"	Mean	4.75	4.375	4.375	4.625	4.875	4.875
	N	8	8	8	8	8	8
"Lawrence,Kent:MAE-4344-001-COMPUTER-AIDED ENGINEERING"	Mean	4.6875	4.4375	4.5312	4.7188	4.875	4.875
	N	32	32	32	32	32	32
"Leclair,Helen:NURS-4350-010-BSN CAPSTONE"	Mean	3	3	3	3	3	3
	N	1	1	1	1	1	1
"Leclair,Helen:NURS-4351-011-BSN NURSING LEADERSHIP & MGMT"	Mean	3	3.5	3.5	3.5	3.5	3.5
	N	2	2	2	2	2	2
"Lee,Gunsoo:LING-4327-001-LANGUAGE ACQUISITION"	Mean	4.5	4.5	5	5	5	4
	N	2	2	1	1	1	2
"Lee,Gunsoo:LING-5305-001-SECOND LANGUAGE ACQUISITION"	Mean	2.375	2.125	3.5	3.25	3.875	3.1429
	N	8	8	8	8	8	7
"Lee,Wei-Jen:EE-5374-001-PWR SYSTEM PROTECTIVE RELAYING"	Mean	4.0667	4	4.1333	4.4375	4.5	4.3125
	N	15	16	15	16	14	16
"Leffingwell,R:ECED-4310-003-SPEC POPS & DIVRS SETTINGS"	Mean	3.9778	3.9111	4.2	4.0222	4.3778	4.0238
	N	45	45	45	45	45	42
"Leffingwell,R:ECED-4310-006-SPEC POPS & DIVRS SETTINGS"	Mean	4.0286	4	4.25	3.9714	4.1351	4.0811
	N	35	37	36	35	37	37
"Leffingwell,R:EDML-4300-002-ADOLES GROWTH/DEVELOPMT"	Mean	4.5227	4.4318	4.5814	4.5909	4.6364	4.5581
	N	44	44	43	44	44	43
"Leffingwell,R:EDUC-4341-001-ORG & MGT SECONDARY INSTRUCT"	Mean	4.5	4.5769	4.7857	4.6071	4.6296	4.6667
	N	28	26	28	28	27	27
"Leflore,Judy:NURS-5170-059-INDEPENDENT STUDY IN NURSING"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Leflore,Judy:NURS-5539-002-NEONATAL NURSING"	Mean	5	5	5	5	5	5
	N	2	2	2	2	2	2
"Leflore,Judy:NURS-6370-013-INDEPENDENT STUDY IN NURSING"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Lei,Yu:CSE-4321-001-SOFTWARE TESTING & MAINTENANCE"	Mean	4.2143	4.0714	4.2857	4.5714	4.3846	4.1429
	N	14	14	14	14	13	14
"Lei,Yu:CSE-6324-001-ADV TOPS SOFTWARE ENGINEERING"	Mean	4.1667	4.3333	4.6667	4.6667	4.6667	4.8333
	N	6	6	6	6	6	6
"Leininger,James:CE-1350-001-COMPUTER AIDED DRAFTING"	Mean	3.4571	2.9118	3.2	3.5882	4.0571	2.7353
	N	35	34	35	34	35	34
"Leininger,James:CE-2210-001-DYNAMICS"	Mean	4.3077	4	4.6667	4.6923	4.8333	4.0833
	N	13	13	12	13	12	12
"Leininger,James:CE-2311-001-STATICS"	Mean	3.881	3.2619	3.8571	4.1395	4.1429	3.2857
	N	42	42	42	43	42	42
"Lerberg,Justin:ENGL-2303-004-TOPICS IN LIT"	Mean	4.1481	4.3333	4.4815	4.4815	4.5926	4.6296
	N	27	27	27	27	27	27
"Levine,David:CSE-4323-001-COMPUTER ARCHITECTURE II"	Mean	5	5	5	5	5	5
	N	9	9	9	9	9	9
"Levine,David:CSE-5306-001-OPERATING SYSTEMS II"	Mean	4.3913	4.3478	4.5652	4.6522	4.3913	4.6087
	N	23	23	23	23	23	23
"Levine,David:CSE-5350-001-COMPUTER ARCHITECTURE II"	Mean	4.6552	4.5862	4.6897	4.8276	4.6207	4.6897
	N	29	29	29	29	29	29
"Lewis,Frank:EE-5327-001-SYSTEM ID & ESTIMATION"	Mean	4.4545	4.6364	4.5455	4.5455	4.3636	4.5455
	N	11	11	11	11	11	11
"Lewis,Frank:EE-5327-002-SYSTEM ID & ESTIMATION"	Mean	3.5	3.5	4	4	4.5	4
	N	2	2	2	2	2	2
"Li,Ailing:PSYC-2443-002-RESEARCH DSGN & STATS I"	Mean	4.3462	4.4231	4.625	4.64	4.7692	4.5385
	N	26	26	24	25	26	26
"Li,Chengkai:CSE-5334-001-DATA MINING"	Mean	4.25	4.3	4.7368	4.5	4.5	4.3684
	N	20	20	19	20	20	19
"Li,Ren-Cang:MATH-1426-005-CALCULUS I"	Mean	3.4565	3.1739	3.6087	3.8043	4.0667	2.8043
	N	46	46	46	46	45	46
"Li,Ren-Cang:MATH-5392-006-SELECTED TOPICS IN MATH"	Mean	5	5	5	5	5	5
	N	4	4	4	4	4	4
"Li,Yan:MATH-3316-001-STATISTICAL INFERENCE"	Mean	4.381	4.2381	4.4	4.75	4.381	4.45
	N	21	21	20	20	21	20
"Li,Yan:MATH-5305-001-STATISTICAL METHODS"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Li,Yan:STATS-5305-001-STATISTICAL METHODS"	Mean	4.8125	4.8125	4.8125	4.875	4.875	4.875
	N	16	16	16	16	16	16
"Li,Yizeng:MATH-1303-006-TRIGONOMETRY"	Mean	3.6875	3.875	4	4.125	3.1875	3.4375
	N	16	16	16	16	16	16
