Prof_Course		The instructor provided clearly defined expectations.	The instructor used teaching methods that helped me learn.	"The instructor helped me take a role in my own learning, by encouraging questions or other forms of participation as appropriate to the course."	The instructor was well prepared to teach each of the course's units / modules.	The instructor was available for consultation either in person or online.	The instructor is one whom I would recommend to other students.
	N	1	1	1	1	1	1
"Maher,Dennis:THEA-3302-101-FILM STUDIES"	Mean	2.5	3.5	4.5	3	1	3.5
	N	2	2	2	2	1	2
"Maher,Dennis:THEA-4304-001-MODERN THEATRE HISTORY"	Mean	4.2222	4.5556	4.2222	4.7778	4.75	4.5556
	N	9	9	9	9	8	9
"Maherin,Ishrat:EE-5360-001-DATA COMMUNICATIONS ENGRG"	Mean	3.8	3.35	3.7	3.95	4.1579	3.75
	N	20	20	20	20	19	20
"Maherin,Ishrat:EE-5360-002-DATA COMMUNICATIONS ENGRG"	Mean	4	5	5	5	5	5
	N	1	1	1	1	1	1
"Maizlish,Stephen:HIST-1311-002-HISTORY OF U.S."	Mean	4.4516	4.0323	3.7742	4.4839	4.3871	4.2258
	N	31	31	31	31	31	31
"Maizlish,Stephen:HIST-3325-001-CIVIL WAR&REC"	Mean	4.2	3.9	4.4	4.7	4.4444	4.2
	N	10	10	10	10	9	10
"Makeev,Andrew:MAE-2312-001-SOLID MECHANICS"	Mean	4.5238	4.4762	4.4762	4.4286	4.5	4.619
	N	21	21	21	21	16	21
"Malaia,Evguenia:EDUC-5368-001-CONDUCTING RESEARCH IN MBE"	Mean	4.4545	4.3636	4.5455	4.4545	4.3636	4.4545
	N	11	11	11	11	11	11
"Maleku,Arati:SOCW-3306-003-SW PRACTIC III"	Mean	4.4615	4.5385	4.6923	4.8462	4.9231	4.6923
	N	13	13	13	13	13	13
"Malyuta,Yaroslav:ENGL-1301-004/005-RHETORIC AND COMPOSITION I"	Mean	4.25	4.25	4	4.25	3.5	4.3333
	N	4	4	4	4	4	3
"Malyuta,Yaroslav:ENGL-1302-001-RHETORIC AND COMPOSITION II"	Mean	4.125	3.625	4	4	3.5714	3.375
	N	8	8	8	8	7	8
"Malyuta,Yaroslav:ENGL-1302-015-RHETORIC AND COMPOSITION II"	Mean	5	4	4	5	5	5
	N	1	1	1	1	1	1
"Mandal,Subhrangsu:CHEM-4316-001 & CHEM-5327-001-BIOCHEMICAL GENETICS (2132-1-0009)"	Mean	3.5	4	3.75	3.5	4	3
	N	4	4	4	4	4	4
"Manegold,Jenny:MANA-3318-004-MANA ORG BEHAV"	Mean	4.5	4.3125	4.3125	4.8125	4.5625	4.4375
	N	16	16	16	16	16	16
"Mann,Martha:PSYC-3310-004-DEVELOPMENTAL PSYCHOLOGY (2132-27799)"	Mean	4.3261	4.1778	4.2391	4.4545	4.3913	4.4043
	N	46	45	46	44	46	47
"Mann,Martha:PSYC-3310-700-DEVELOPMENTAL PSYCHOLOGY"	Mean	4.8333	4.3333	4.1667	4.5833	4.2727	4.5833
	N	12	12	12	12	11	12
"Mann,Martha:PSYC-3310-701-DEVELOPMENTAL PSYCHOLOGY"	Mean	4.4667	4	4.2	4.2667	4.2308	4.2667
	N	15	15	15	15	13	15
"Mann,Whitney:BIOL-3444-003-GENERAL MICROBIOLOGY"	Mean	4.0833	4.0833	4.4167	4.4167	4.6667	4.3333
	N	12	12	12	12	12	12
"Mann,Whitney:BIOL-4440-002 & BIOL-5440-002-LAB IN BACTERIAL PATHOGENESIS"	Mean	4	3.8	4.5	4.2	4	3.8
	N	5	5	4	5	5	5
"Manry,Michael:EE-5350-001-DIGITAL SIGNAL PROCESSING"	Mean	3.5	3.6	3.2	3.9	3.9	3.4
	N	10	10	10	10	10	10
"Manry,Michael:EE-5352-001-STATISTICAL SIGNAL PROCESSING"	Mean	4	4	5	4	5	4
	N	1	1	1	1	1	1
"Marcos,Yoseph:CHEM-1442-003-GENERAL CHEMISTRY II"	Mean	4.5	4.25	4.25	4.375	4.25	4.25
	N	8	8	8	8	8	8
"Mariboho,Rachael:ENGL-2329-013-AMERICAN LITERATURE"	Mean	4.6111	4.4444	4.4444	4.5	4.5	4.5
	N	18	18	18	18	18	18
"Marichal,Albert:ARCH-4557-003-DESIGN STUDIO: ARCHITECTURE IV"	Mean	4.2	4	4.2	4.2	3.8	4.4
	N	5	5	5	5	5	5
"Marichal,Albert:ARCH-5326-001-ENVIRONMENTAL CONTROL SYSTEMS"	Mean	3.3125	3	3.1875	3.1875	3.125	2.875
	N	16	16	16	16	16	16
"Mariottini,Gian-Luca:CSE-1310-003-INTRO COMPUTERS & PROGRAMMING"	Mean	4.1905	3.9524	4.3333	4.4286	4.55	4.0476
	N	21	21	21	21	20	21
"Mark,Richard:ACCT-3311-001-FINANCIAL ACCOUNTING I"	Mean	4.5	4.5	4.5	4.5	4.5	4.5
	N	4	4	4	4	4	4
"Mark,Richard:ACCT-3315-002-PRINCIPLES OF FED INCOME TAX"	Mean	2.8667	2.5333	3	3.3333	2.7692	2.1333
	N	15	15	15	15	13	15
"Mark,Richard:ACCT-5380-001-ETHICS IN ACCOUNTING"	Mean	4.5	4.75	4.75	4.75	4.375	4.125
	N	8	8	8	8	8	8
"Marquez,Claudia:BIOL-1433-010-INTRODUCTION TO BIOLOGY I"	Mean	3.875	4.25	4.25	4.375	4.375	4.125
	N	8	8	8	8	8	8
"Marquez,Claudia:BIOL-1441-006-CELL MOL BIOL"	Mean	4.5	4.5	4.5	4.5	4.75	4.5
	N	4	4	4	4	4	4
"Marshall,Thomas:POLS-2311-008-GOVT OF U S"	Mean	4	3.6957	3.7727	4.1304	4.5294	3.8261
	N	23	23	22	23	17	23
"Marshall,Thomas:POLS-3311-001-PUBLIC OPINION"	Mean	3.9167	3.9167	4.1818	4.5	4.5	4.1667
	N	12	12	11	12	10	12
"Martin,Chris:UNIV-3335-001-PEER ACADEMIC LEADER TRAINING"	Mean	4.7	4.9	5	4.8	4.9	5
	N	10	10	10	10	10	10
"Martin,Gyde:ENGL-3351-001-HIST BRIT LIT I"	Mean	2.1111	3.3333	2.6667	4.2222	4	2.1111
	N	9	9	9	9	8	9
"Martin,Gyde:ENGL-3351-002-HIST BRIT LIT I"	Mean	3.8333	4.1667	4.3333	4.5	4.6667	3.6667
	N	6	6	6	6	6	6
"Martin,Gyde:ENGL-3384-001-STRUC MOD ENGL"	Mean	4.5	4.6	4.7	4.9	4.7	4.8
	N	10	10	10	10	10	10
"Martin,Gyde:ENGL-4365-001-CHILDREN'S LITERATURE"	Mean	4.8571	4.5714	5	4.8571	4.3333	4.7143
	N	7	7	7	7	6	7
"Martin,Leisa:EDML-4370-001-SOCIAL STUDIES & DIVERSITY"	Mean	5	4.9375	4.9375	5	5	4.875
	N	16	16	16	16	16	16
"Martinez-Cosio,Maria:URPA-5311-001-SOCIAL POLICY FORMATION"	Mean	4	4	4.25	4.125	4.375	4.2857
	N	8	8	8	8	8	7
"Martinez-Cosio,Maria:URPA-5330-001-COMMUNITY & NEIGHBORHOOD ORG"	Mean	5	5	5	5	5	5
	N	4	4	4	4	4	4
"Maruszczak,John:ARCH-4345-001-DIGITAL CONSTRUCTION"	Mean	4	4.5	4.5	4.25	4.25	4.5
	N	4	4	4	4	4	4
"Maruszczak,John:ARCH-4556-002-DESIGN STUDIO: ARCH III"	Mean	3.8571	4	4.1429	4.4286	4.5	3.8571
	N	7	7	7	7	6	7
"Maruszczak,John:ARCH-5345-001-Digital Construction"	Mean	4	4	4	3	3	4
	N	1	1	1	1	1	1
"Maryol,Gladys:NURS-3352-500-THE LEGACY OF THE FAMILY"	Mean	4.5	4.2727	4.3636	4.3182	4.1667	4.3636
	N	22	22	22	22	18	22
"Maryol,Gladys:NURS-4455-500-RN-BSN NURSING MANAGEMENT"	Mean	4.3659	4.2683	4.3415	4.35	4.3824	4.1622
	N	41	41	41	40	34	37
"Maryol,Gladys:NURS-4455-502-RN-BSN NURSING MANAGEMENT"	Mean	4.5128	4.3333	4.3158	4.5789	4.2286	4.4103
	N	39	39	38	38	35	39
"Mason,Melanie:BCMN-3355-001-BROADCAST ANNOUNCING"	Mean	4.6	4.6	4.6	4.6	4.4	4.2
	N	5	5	5	5	5	5
"Mason,Melanie:COMS-4321-001-READERS THEATRE"	Mean	4.75	4.75	5	4.75	4	5
	N	4	4	4	4	4	4
"Massa,Luca:AE-5342-001-GAS DYNAMICS"	Mean	3.5714	3	3.25	3.125	4.6	2.8571
	N	7	8	8	8	5	7
"Massa,Luca:AE-5342-002-GAS DYNAMICS"	Mean	2	3	4	4	4	4
	N	1	1	1	1	1	1
"Massa,Luca:MAE-4321-001-AIR-BREATHING ENG PROPULSION"	Mean	3.6667	3.5	4.3333	4.5	4.6	4.1667
	N	6	6	6	6	5	6
"Massa,Luca:ME-5342-001-GAS DYNAMICS"	Mean	4	2	4	4	4	2
	N	1	1	1	1	1	1
"Massidda,Antonio:CE-1352-002-COMPUTER TOOLS"	Mean	3.5	3.6667	3.5	3.8333	3.8333	3.6667
	N	6	6	6	6	6	6
"Massidda,Antonio:CE-1352-003-COMPUTER TOOLS"	Mean	2.3333	2	2.3333	2.3333	2.6	2
	N	6	6	6	6	5	6
"Massidda,Antonio:CE-1352-004-COMPUTER TOOLS"	Mean	2.7143	2.4286	3.3333	2.3333	3.6	2.4286
	N	7	7	6	6	5	7
"Massidda,Antonio:CE-1352-005-COMPUTER TOOLS"	Mean	4	2.5	4	3	4	3
	N	2	2	2	2	1	2
"Matheson,Neill:ENGL-3340-001-HISTORY OF AMERICAN LITERATURE"	Mean	3.6154	2.9231	3.6923	4	4.3333	3.0769
	N	13	13	13	13	12	13
"Matheson,Neill:ENGL-3340-003-HISTORY OF AMERICAN LITERATURE & HONR-LA-3304-009-SPECIAL TOPICS"	Mean	3.6667	3.8	4.2667	3.8667	4.1333	3.4
	N	15	15	15	15	15	15
"Matheson,Neill:ENGL-5326-001-TOPICS AMERICAN LIT PRE 1900"	Mean	4.5	4.375	4.625	4.875	5	4.7143
	N	8	8	8	8	8	7
"Matsler,Karen:BIOL-3310-031/032, CHEM-4392-031/032, GEOL-4305-031/032 and PHYS-4391-031/032-SELECTED TOPICS"	Mean	4.5	4.25	4.25	4.5	4.5	4.5
	N	4	4	4	4	4	4
"Matsler,Karen:SCIE-1102-002-STEP 2: INQUIRY LESSON DESIGN"	Mean	5	5	5	5	4.75	4.75
	N	4	4	4	4	4	4
"Matthews,Jeff:ACCT-5366-001-FRAUD EXAMINATION"	Mean	4.75	4.75	4.75	4.75	4.3333	4.5
	N	4	4	4	4	3	4
"Mattingly,Stephen:CE-3110-001-CE COMMUNICATIONS"	Mean	2.3636	2.2727	3.9091	2.3636	4.0909	2.5
	N	11	11	11	11	11	10
"Mattingly,Stephen:CE-3302-001-TRANSPORTATION ENGINEERING"	Mean	3.8571	3.9048	3.7619	4.1429	4	3.5238
	N	21	21	21	21	20	21
"May,Cedric:ENGL-3345-001-AFRICAN AMERICAN LITERATURE"	Mean	3.7143	4	4.4286	3.5714	3.5714	4
	N	7	7	7	7	7	7
"May,Cedric:ENGL-3345-002-AFRICAN AMERICAN LITERATURE"	Mean	4.25	5	5	4.5	4.25	5
	N	4	4	4	4	4	4
"May,Mary:SOCW-4251-001-SOCIAL WORK FIELD SEMINAR I"	Mean	4.8	4.8	4.8	4.8	4.2	4.6
	N	5	5	5	5	5	5
"Mccollom,Neal:IE-3312-002-ECONOMICS FOR ENGINEERS"	Mean	4.2778	4.1667	4.2778	4.3333	4.2222	4.1111
	N	18	18	18	18	18	18
"Mcconnell,Donald:ACCT-4133-001 & ACCT-5133-001-PROFESSIONALISM IN ACCOUNTING (2132-1-0109)"	Mean	4.5556	4.5	4.625	4.5	4	4.5
	N	9	8	8	8	7	8
"Mcconnell,Donald:ACCT-4318-002-AUDITING"	Mean	4.2	3.4	3.8	4.4	4.2	3.6
	N	5	5	5	5	5	5
"Mcconnell,Donald:ACCT-5316-001-AUDIT CONCEPTS & PRACTICES"	Mean	4.6667	4.3333	4.8333	4.6667	4.8333	4.3333
	N	6	6	6	6	6	6
"Mccormick,Rene:SCIE-3301-001-PHYSICAL SCIENCE - PHYSICS"	Mean	4.6667	4.8333	4.75	4.9167	4.2727	4.8333
	N	12	12	12	12	11	12
"Mccourt,Kaci:ENGL-1301-018-RHETORIC AND COMPOSITION I"	Mean	4.5	4.5	4.75	4.5	4.6667	4.5
	N	4	4	4	4	3	4
"Mccown,Julie:ENGL-1302-004-RHETORIC AND COMPOSITION II"	Mean	4.4444	3.5556	4.3333	4.5556	4.5556	3.8889
	N	9	9	9	9	9	9
"Mccown,Julie:ENGL-1302-013-RHETORIC AND COMPOSITION II"	Mean	4.8	4.3	4.6	4.7	4.7	4.6
	N	10	10	10	10	10	10
"Mcdermott,John:ARCH-4308-001 & ARCH-5308-001-HIST URBAN FORM (2132-1-0297)"	Mean	4	3	4	4	3	3
	N	1	1	1	1	1	1
"Mcdermott,John:ARCH-4395-001 & ARCH-5395-001-TOPICS IN ARCHITECTURE"	Mean	4	4.25	4.5	3.5	3.5	4
	N	4	4	4	4	4	4
"Mcdermott,Sandra:NURS-5340-401-MANAGEMENT SEMINAR & PRACTICE"	Mean	4.8	4.6	4.8	4.6	4	4.4
	N	5	5	5	5	5	5
"Mcdonough,Paul:KINE-3300-001-FUNCTIONAL ANATOMY"	Mean	3.5333	3.4	3.5714	3.8462	3.3333	3.6667
	N	15	15	14	13	15	15
"Mcdonough,Paul:KINE-3325-002-UNDERGRADUATE RESEARCH METHODS"	Mean	3	2.4286	3.2857	2.1429	2.8571	2.5714
	N	7	7	7	7	7	7
"Mcdonough,Paul:KINE-5322-001-METABOLISM & EXERCISE BIOCHEM"	Mean	4.6	4.8	5	4.6	4.2	4.8
	N	5	5	5	5	5	5
"Mcenery,John:CE-4328-001-WATER SYSTEM DESIGN"	Mean	3.2	3	3	2.8	3.25	2.8
	N	5	5	5	5	4	5
"Mceuen,Roby:COMM-3303-001-COMMUNICATION GRAPHICS"	Mean	4.6667	4.6667	4.7778	4.6667	4.2222	4.7778
	N	9	9	9	9	9	9
"Mceuen,Roby:COMM-3303-002-COMMUNICATION GRAPHICS"	Mean	4.625	4.5	4.6875	4.875	4.25	4.75
	N	16	16	16	16	16	16
"Mceuen,Roby:COMM-3303-003-COMMUNICATION GRAPHICS"	Mean	4.8	4.3333	4.4667	4.8667	4.2143	4.7333
	N	15	15	15	15	14	15
"Mceuen,Roby:COMM-3303-004-COMMUNICATION GRAPHICS"	Mean	4.5625	4.6875	4.8125	4.75	4.3125	4.875
	N	16	16	16	16	16	16
"Mcfadyen,Margaret:MANA-4322-003-ORGANIZATIONAL STRATEGY"	Mean	5	5	5	5	5	5
	N	4	4	4	4	4	4
"Mcfadyen,Margaret:MANA-4322-009-ORGANIZATIONAL STRATEGY"	Mean	3.625	4	4.2857	4.625	3.75	3.875
	N	8	8	7	8	8	8
"Mcfadyen,Margaret:MANA-5337-002-ETHICS & BUSINESS ENVIRONMENT"	Mean	3	3.6667	3.6667	2.6667	3	3
	N	3	3	3	3	3	3
"Mcgee,Jeffrey:MANA-4322-001-ORGANIZATIONAL STRATEGY"	Mean	5	4.5	5	5	5	5
	N	2	2	2	2	2	2
"Mcgee,Jeffrey:MANA-5336-001-STRATEGIC MANAGEMENT"	Mean	4.75	4	4.75	4.5	4.5	4.75
	N	4	4	4	4	4	4
"Mcgee,Jeffrey:MANA-5336-002-STRATEGIC MANAGEMENT"	Mean	4	4	4.5	4	3.5	3.5
	N	2	2	2	2	2	2
"Mcgee,Ladorna:SOCI-3357-001-LAW & SOCIETY"	Mean	4	3.6364	4.5455	4.4545	4.6	4
	N	11	11	11	11	10	11
"Mcgee,Melanie:ACCT-5302-001-ACCOUNTING ANALYSIS II"	Mean	4.5	4	4.75	4.25	4.75	3.75
	N	4	4	4	4	4	4
"Mcgee,Melanie:ACCT-5302-002-ACCOUNTING ANALYSIS II"	Mean	4.5833	4.0833	4.2917	4.6957	4.4545	4.375
	N	24	24	24	23	22	24
"Mcghee,Terra:ACCT-2301-003-PRINCIPLES OF ACCOUNTING I"	Mean	4.1538	3.4615	3.5385	4.3846	4.3333	3.6154
	N	13	13	13	13	12	13
"Mcghee,Terra:ACCT-2301-004-PRINCIPLES OF ACCOUNTING I"	Mean	4.125	3.8	4.25	4.5625	4.4375	4.1875
	N	16	15	16	16	16	16
"Mcghee,Terra:ACCT-3312-002-FINANCIAL ACCOUNTING II"	Mean	4.5455	4.2727	4.2727	4.7273	4.5455	4.3636
	N	11	11	11	11	11	11
"Mcguire,Christopher:MUSIC PRIVATE LESSONS (2132-00102)"	Mean	5	5	5	5	5	5
	N	4	4	4	4	4	4
"Mckeever,Ashley:ENGL-1301-029-RHETORIC AND COMPOSITION I"	Mean	4.25	3.75	4.25	3.75	4.5	3.75
	N	4	4	4	4	4	4
"Mckeown,Barry:KINE-3315-001-PHYSIOLOGY OF EXERCISE"	Mean	3	4	4.5	4	4	2.5
	N	2	2	2	2	2	2
"Mckeown,Barry:KINE-3315-002-PHYSIOLOGY OF EXERCISE"	Mean	4.2857	4.1429	4.7143	4.5714	4.2857	4.2857
	N	7	7	7	7	7	7
"Mclean,Janet:NURS-3261-001-NURSING OF OLDER ADULTS"	Mean	4.6667	4.6667	4.5333	4.7333	4.75	4.8
	N	15	15	15	15	12	15
"Mclean,Janet:NURS-3261-002-NURSING OF OLDER ADULTS"	Mean	3.7857	3.2143	3.5714	3.7857	4	3.4286
	N	14	14	14	14	13	14
"Mclean,Janet:NURS-3261-600-NURSING OF OLDER ADULTS"	Mean	3.1429	3.6667	3.4	3.5333	3.0769	3.0667
	N	14	15	15	15	13	15
"Mclean,Janet:NURS-3325-201-RN-BSN HOLISTIC CARE OLDER ADU"	Mean	4.3333	4.3333	4.3333	4.3333	4.3333	4.3333
	N	6	6	6	6	6	6
"Mclean,Janet:NURS-3325-501-RN-BSN HOLISTIC CARE OLDER ADU"	Mean	4.4103	4.5641	4.3784	4.5526	4.4412	4.4737
	N	39	39	37	38	34	38
"Mclean,Janet:NURS-4455-201-RN-BSN NURSING MANAGEMENT"	Mean	4.2857	4.2857	4.7143	4.1429	4.1429	4.4286
	N	7	7	7	7	7	7
"Mcmahan,Gary:MANA-5337-001-ETHICS & BUSINESS ENVIRONMENT"	Mean	3.3333	3.6667	4.3333	3.5	3.5	3.3333
	N	3	3	3	2	2	3
"Mcmahan,Gary:MANA-5340-002-STRATEGIC HUMAN RESOURCE MNGMT"	Mean	3.5	3	4.3333	2.5	2.8	2.8333
	N	6	6	6	6	5	6
"McNabb,Christopher:PSYC-1315-007-INTRO TO PSYCHOLOGY"	Mean	4.4737	4.3158	4.1579	4.4444	4.3333	4.5789
	N	19	19	19	18	18	19
"Mcspadden,Joni:NURS-4325-500-RN-BSN NURSING RESEARCH"	Mean	2.75	2.5278	2.9722	3.25	3.1143	2.4444
	N	36	36	36	36	35	36
"Mcwilliams,R:ART-4363-001-STUDIO PHOTOGRAPHY"	Mean	3.75	4	4.25	4.25	4.3333	4.25
	N	4	4	4	4	3	4
"Megwa,Eronini:BCMN-2360-001-INTRO BRDCST"	Mean	4.1111	3.8889	4.2222	4.4444	4.4444	4
	N	9	9	9	9	9	9
"Megwa,Eronini:COMM-4305-001-COMMUNICATION & SOCIETY"	Mean	4.1	4.3	4.6	4.8	4.5556	4.6
	N	10	10	10	10	9	10
"Megwa,Eronini:PREL-4320-001-PUBLIC RELATIONS MGMT"	Mean	3.4	3.6	4.2	4.4	4.25	4
	N	5	5	5	5	4	5
"Mehta,Madan:ARCH-3323-001-CONSTRUCTION MATERIALS/METHODS & ARCH-5323-001-CONSTRUCTION I (2132-1-0294)"	Mean	4	3.6667	3.6667	4.2222	4.1111	3.6667
	N	9	9	9	9	9	9
"Mehta,Madan:ARCH-3324-001 & ARCH-5324-001-ARCHITECTURAL STRUCTURES I (2132-1-0295)"	Mean	4.5	3.6364	4.0909	4.5	4.2632	3.8182
	N	22	22	22	22	19	22
"Mehta,Madan:ARCH-5328-001-ARCHITECTURAL STRUCTURES III"	Mean	4.5263	4.4211	4.6316	4.6842	4.5263	4.4737
	N	19	19	19	19	19	19
"Meiners,Roger:BLAW-5330-002-LEGAL ENVIRON OF BUSINESS"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Meiners,Roger:BLAW-5330-004-LEGAL ENVIRON OF BUSINESS"	Mean	5	5	4	5	4	5
	N	1	1	1	1	1	1
"Meiners,Roger:BLAW-5330-030-LEGAL ENVIRON OF BUSINESS"	Mean	5	4.5	5	5	5	5
	N	2	2	2	2	2	2
"Meiners,Roger:ECON-5311-020-ECONOMIC ANALYSIS"	Mean	4.6667	4.6667	4.6667	4.6667	4.6667	4.6667
	N	3	3	3	3	3	3
"Meiners,Roger:ECON-5319-002-THE GLOBAL ECONOMY"	Mean	5	5	5	5	5	5
	N	2	2	2	2	2	2
"Meletis,Efstathios:MSE-4390-005-SPEC TOPS MATERIALS SCI & ENGR"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Meletis,Efstathios:MSE-5330-001-CORROSION"	Mean	3.3333	3.3333	3.3333	3	3.3333	3.3333
	N	3	3	3	3	3	3
"Melito,Janice:ART-3363-002-CLAY"	Mean	4.625	4.625	4.75	4.75	4.25	4.75
	N	8	8	8	8	8	8
"Mellgren,Roger:PSYC-1315-700 and 900 INTRODUCTION TO PSYCHOLOGY"	Mean	4.5	4.5	5	4.5	4.5	4
	N	2	2	2	2	2	1
"Mellgren,Roger:PSYC-1315-701 and 901 INTRODUCTION TO PSYCHOLOGY"	Mean	4.5	4.5	4	4.5	2.75	4.5
	N	4	4	4	4	4	4
"Mellgren,Roger:PSYC-3356-001-EVOLUTIONARY PSYCHOLOGY"	Mean	4.2857	4.0714	4.2857	4.2857	4.25	4
	N	14	14	14	14	12	13
"Melotto,Maeli:BIOL-3427-001-PLANT SCIENCE"	Mean	3.7727	3.2727	3.4286	4.1364	3.6842	3.2727
	N	22	22	21	22	19	22
"Melton,Janet:ELED-4313-001-ARTS IN ELEMENTARY EDUCATION"	Mean	3.7917	4.087	3.9167	3.9167	3.5714	3.6667
	N	24	23	24	24	21	24
"Melton,Janet:ELED-4313-002-ARTS IN ELEMENTARY EDUCATION"	Mean	4.5	3.3333	3.3333	3.3333	3.3333	3
	N	2	3	3	3	3	3
"Mercado,Marta:SOCW-6365-001-SEXUAL AND GENDER IDENTITIES"	Mean	3.625	3.875	4.3125	4.25	4.375	3.5
	N	16	16	16	16	16	16
"Messersmith,David:ARCH-5331-001-PROFESSIONAL PRACTICE"	Mean	4.65	4.35	4.6	4.65	4.45	4.45
	N	20	20	20	20	20	20
"Meyer,Connie:ENGL-2319-008-BRITISH LITERATURE"	Mean	4.75	4.25	4.75	5	4.625	4.75
	N	8	8	8	8	8	8
"Meyer,Connie:ENGL-2319-010-BRITISH LITERATURE"	Mean	5	4.6	4.4	4.8	5	4.6
	N	5	5	5	5	4	5
"Michael,Jacqueline:NURS-3425-201-RN-BSN HOL HLTH ASSESS LIFESPA"	Mean	4.75	4.75	4.5	5	4.5	4.25
	N	4	4	4	4	4	4
"Michael,Jacqueline:NURS-3425-500-RN-BSN HOL HLTH ASSESS LIFESPA"	Mean	4	3.8837	3.9318	4.2955	3.775	3.8205
	N	44	43	44	44	40	39
"Michael,Jacqueline:NURS-3425-501-RN-BSN HOL HLTH ASSESS LIFESPA"	Mean	4.0588	3.9412	3.9118	4.303	3.5556	3.7576
	N	34	34	34	33	27	33
"Michael,Jacqueline:NURS-3425-505-RN-BSN HOL HLTH ASSESS LIFESPA"	Mean	4.4	4.48	4.36	4.4167	4.08	4.2083
	N	25	25	25	24	25	24
"Michael,Jacqueline:NURS-4585-500-RN-BSN CAPSTONE"	Mean	3.5714	3.2857	3.6154	4.2727	3.7692	3.3571
	N	14	14	13	11	13	14
"Michael,Jacqueline:NURS-4585-501-RN-BSN CAPSTONE"	Mean	4.4444	4.5	4.6667	4.4444	4.2353	4.3889
	N	18	18	18	18	17	18
"Michael,Jacqueline:NURS-5390-002-TOPICS IN NURSING"	Mean	4.5	5	5	5	4.5	4.5
	N	2	2	2	2	2	2
"Michael,Jacqueline:NURS-5418-001-ADVANCED HEALTH ASSESSMENT"	Mean	3.3878	3.3061	3.6735	3.0612	3.8542	3.0204
	N	49	49	49	49	48	49
"Michael,Jacqueline:NURS-6302-001-HLTH OF CLTRLY DIV & VUL POPS"	Mean	3.3333	3.6667	3.6667	4.6667	4.6667	4
	N	3	3	3	3	3	3
"Michael,Nancy:MAE-3324-001-STRUC & MECH BEHAVIOR MATERIAL"	Mean	4.2917	4.125	4.125	4.5652	4.1667	3.9167
	N	24	24	24	23	24	24
"Michalski,Jeanne:MANA-3318-001-MANA ORG BEHAV"	Mean	4.4	4.2	4.8	4.8	4.3	3.9
	N	10	10	10	10	10	10
"Michalski,Jeanne:MANA-3320-001-PER/HUM RES MGT"	Mean	4.3571	4.2857	4.2143	4.3571	4.0769	4.1429
	N	14	14	14	14	13	14
"Michalski,Jeanne:MANA-3320-002-PER/HUM RES MGT"	Mean	4.3	3.8	4.4	4.4	3.9	4
	N	10	10	10	10	10	10
"Michalski,Jeanne:MANA-5323-001-TRAINING AND DEVELOPMENT"	Mean	3.4	3.7	3.9	4.1	3.9	2.7
	N	10	10	10	10	10	10
"Michel,Tracy:BIOL-1433-013-INTRODUCTION TO BIOLOGY I"	Mean	4.25	4.5	4.25	4.75	4.5	4.5
	N	4	4	4	4	4	4
"Michel,Tracy:BIOL-1441-017-CELL MOL BIOL"	Mean	4.3333	4.3333	4.6667	5	4.3333	4.3333
	N	3	3	3	3	3	3
"Middleton,Robert:NURS-4455-501-RN-BSN NURSING MANAGEMENT"	Mean	4.4667	4.4	4.3571	4.3333	4	4.2143
	N	15	15	14	15	14	14
"Mikhaylova,Alena:CE-2313-001-MECHANICS OF MATERIALS I"	Mean	4.2955	4.3023	4.3095	3.9545	4.5122	4.2143
	N	44	43	42	44	41	42
"Miles,Gayla:FS-NURS-1300-011-INTRO TO PROFESSIONAL NURSING"	Mean	4.5882	4.0625	4.5294	3.8824	4.4118	4.4118
	N	17	16	17	17	17	17
"Miller,Ashley:ENGL-5305-001-ROMANTIC BRITISH LITERATURE"	Mean	4.6667	4.4444	4.5556	4.8889	4.8889	4.875
	N	9	9	9	9	9	8
"Miller,Barton:SOCW-6325-002-ADVANCED MICRO PRACTICE"	Mean	3.0769	3.2308	3.8462	3.6154	3	3.3077
	N	13	13	13	13	12	13
"Miller,Charles:BLAW-3311-001-LAW I"	Mean	4.7143	4.4286	4.5714	4.7143	4.5714	4.4286
	N	7	7	7	7	7	7
"Miller,Charles:BLAW-3311-002-LAW I"	Mean	3.9167	4	4.1667	4.3333	4.25	4
	N	12	12	12	12	12	12
"Miller,Charles:BLAW-3312-001-LAW II"	Mean	3.9	3.9	4.2	4.2	4.3	3.9
	N	10	10	10	10	10	10
"Miller,Charles:BLAW-4310-001 & BLAW-5331-001-INTERNATIONAL LAW BUSINESS"	Mean	3.7143	3.5714	4.1429	4.1667	4.4286	3.7143
	N	7	7	7	6	7	7
"Miller,Frederick:ART-1305-004-TWO-DIMENSIONAL DESIGN"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Miller,Frederick:ART-1306-004-THREE-DIMENSIONAL DESIGN"	Mean	4	4	5	4	2	4
	N	1	1	1	1	1	1
"Miller,Frederick:ART-1306-006-THREE-DIMENSIONAL DESIGN"	Mean	4.5	4.8333	4.5	4.3333	4.3333	4.6667
	N	6	6	6	6	6	6
"Miller,Sandra:SCIE-4101-001-SPECIAL TOPICS SCIENCE"	Mean	4.7143	4.4286	4.7143	4.7143	4.7143	4.7143
	N	7	7	7	7	7	7
