Prof_Course		The instructor provided clearly defined expectations.	The instructor used teaching methods that facilitated my learning.	"The instructor encouraged me to take a role in my own learning, to ask questions, and to participate."	The instructor was well prepared to teach.	The instructor was available outside of class either electronically or in person.	The instructor is one whom I would recommend to other students.
"Campbell,Jeremiah:KINE-3315-003-PHYSIOLOGY OF EXERCISE"	Mean	4.8	4.7778	4.7	4.8	4.7	4.8
	N	10	9	10	10	10	10
"Campbell,Jeremiah:KINE-3315-006-PHYSIOLOGY OF EXERCISE"	Mean	4.6364	4.6364	4.3636	4.5556	4.3333	4.7
	N	11	11	11	9	9	10
"Campbell,Jonathan:BIOL-4444-001-VERTEBRATE NATURAL HISTORY"	Mean	4.4167	4	4	4.5833	4.5	4.25
	N	12	12	12	12	12	12
"Camuel,Cynthia:BLAW-3312-005-LAW II"	Mean	4.8	4.8125	4.75	4.9375	4.6875	4.875
	N	15	16	16	16	16	16
"Cannon,Alan:OPMA-3306-007-OPERATIONS MANAGEMENT"	Mean	3.8889	3.8333	4	4.3333	3.7222	3.7778
	N	18	18	18	18	18	18
"Cannon,Alan:OPMA-5361-001-OPERATIONS MANAGEMENT"	Mean	3.7297	3.4722	3.8919	4.1622	3.7027	3.6389
	N	37	36	37	37	37	36
"Cao,Hung:EE-2307-002-ELECTROMAGNETICS I"	Mean	3.7778	3.6667	3.6667	4.1111	3.8889	4.25
	N	9	9	9	9	9	8
"Capote,Angela:SPAN-1441-008-BEGINNING SPANISH I"	Mean	4.3684	4.2632	4.3158	4.5789	4	4.5263
	N	19	19	19	19	19	19
"Capote,Angela:SPAN-1442-012-BEGINNING SPANISH II"	Mean	4.1818	3.8571	3.5714	4.2273	4.3333	3.9091
	N	22	21	21	22	21	22
"Carlson,Susan:NURS-5418-002-ADVANCED HEALTH ASSESSMENT"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Carpenter,Blake:FREN-2313-032-INTERMEDIATE FRENCH I"	Mean	4.7333	5	5	4.9333	4.9333	4.9286
	N	15	15	15	15	15	14
"Carpenter,Blake:FREN-2314-032-INTERMEDIATE FRENCH II"	Mean	4.8	5	5	4.9333	4.9333	4.9333
	N	15	15	15	15	15	15
"Carpenter,Galen:ACCT-2302-002-PRINCIPLES OF ACCOUNTING II"	Mean	4.45	4.3659	4.4	4.5854	4.439	4.6098
	N	40	41	40	41	41	41
"Carpenter,Karel:CRCJ-2335-001-CRIMINAL JUSTICE ETHICS (2102-20996)"	Mean	4.6667	4.5833	4.5918	4.7551	4.551	4.7959
	N	48	48	49	49	49	49
"Carter,Owen:JOUR-1345-003-WRITING FOR MASS MEDIA"	Mean	4.1875	4.125	4.25	3.8125	4	4.1875
	N	16	16	16	16	16	16
"Carter,Owen:JOUR-1345-004-WRITING FOR MASS MEDIA"	Mean	4.2857	4.2667	4.3333	4.6667	4.1333	4.2667
	N	14	15	15	15	15	15
"Carter,Owen:JOUR-2346-003-REPORTING"	Mean	4.25	4.3333	4.25	4.4167	4.3636	4.3333
	N	12	12	12	12	11	12
"Carter,Owen:JOUR-4326-001-FEATURE WRITING"	Mean	4.7778	4.625	4.7778	4.8889	4.875	4.8889
	N	9	8	9	9	8	9
"Carter,Ronald:EE-5342-001-SEMICON DEVICE MODELING/CHAR"	Mean	4.6	4.4	4	4.6	5	4.8
	N	5	5	5	5	5	5
"Cason,Carolyn:NURS-6310-002-PROPOSAL DEVELOPMENT SEMINAR"	Mean	4.5	4.25	5	5	5	4.75
	N	4	4	4	4	4	4
"Casper,Wendy:MANA-5312-002-MANAGEMENT"	Mean	3.8	3.2667	4.1364	3.2667	4.1111	3.5227
	N	45	45	44	45	45	44
"Casper,Wendy:MANA-5323-001-TRAINING AND DEVELOPMENT"	Mean	3.6923	2.8205	3.7949	2.8056	4.1081	3.3243
	N	39	39	39	36	37	37
"Cavallo,Ann:EDUC-5305-007-CUR DESGN, IMPLMNTATION & EVAL"	Mean	4.4167	4.8333	4.8333	4.6364	4.5	4.75
	N	12	12	12	11	12	12
"Cavanagh,Daniel:MUSI-0116-001-JAZZ ENSEMBLE"	Mean	4.6842	4.6842	4.8947	4.8421	4.7368	4.8889
	N	19	19	19	19	19	18
"Cavanagh,Daniel:MUSI-0122-003-JAZZ COMBO"	Mean	4.5	4.6	4.6	4.6	4.4	5
	N	4	5	5	5	5	4
"Cavanagh,Daniel:MUSI-0122-004-JAZZ COMBO"	Mean	5	4.6667	5	5	4.6667	5
	N	3	3	3	3	3	3
"Cavanagh,Daniel:MUSI-1302-001-HISTORY OF JAZZ"	Mean	4.46	4.3542	4.3958	4.46	4.451	4.62
	N	50	48	48	50	51	50
"Cavanagh,Daniel:MUSI-3125-001-JAZZ THEORY"	Mean	4.4706	4.3333	4.4737	4.35	4.55	4.45
	N	17	18	19	20	20	20
"Cavanagh,Daniel:MUSI-3226-001-JAZZ IMPROVISATION II (2102-24201)"	Mean	4.7143	4.8571	4.7143	4.7143	4.7143	5
	N	7	7	7	7	7	7
"Cavanagh,Daniel:MUSI-4391-032-CONFERENCE COURSE"	Mean	5	5	5	5	4	5
	N	1	1	1	1	1	1
"Cavanagh,Daniel:MUSI-4391-046-CONFERENCE COURSE"	Mean	5	5	5	5	4	5
	N	1	1	1	1	1	1
"Cawthon,Elisabeth:HIST-2313-001-HISTORY OF ENGLAND"	Mean	4.5143	3.8235	4.2	4.6571	4.5429	4.1714
	N	35	34	35	35	35	35
"Cawthon,Elisabeth:HIST-4345-001-TUDOR-STUART ENGLAND 1485-1714"	Mean	4.5882	4.5	4.8182	4.6765	4.8235	4.7647
	N	34	34	33	34	34	34
"Cazzell,Mary:NURS-4431-001-NURS CHILDREN & ADOLESCENTS"	Mean	4.549	4.4314	4.4706	4.6078	4.5294	4.5294
	N	51	51	51	51	51	51
"Cazzell,Mary:NURS-4431-002-NURS CHILDREN & ADOLESCENTS"	Mean	4.6735	4.6667	4.6667	4.6735	4.6531	4.7708
	N	49	48	48	49	49	48
"Cazzell,Mary:NURS-4431-020-NURS CHILDREN & ADOLESCENTS"	Mean	4.5	4.3333	4.5714	4.4667	4.8	4.6667
	N	14	15	14	15	15	15
"Celik-Butler,Zeynep:EE-5344-001-INTRO TO MEMS AND DEVICES (2102-24850)"	Mean	4.36	4.12	4.24	4.68	4.36	4.32
	N	25	25	25	25	25	25
"Chaffee,Janet:ART-1307-004-DRAWING FUNDAMENTALS"	Mean	4.4444	4.4444	4.7778	4.7778	4.4444	4.25
	N	9	9	9	9	9	8
"Chakravarthy,Upendranath:CSE-1325-001-OO & EVENT-DRIVEN PROGRAMMING"	Mean	3.6	3.6538	4.0769	4.1111	4	3.7407
	N	25	26	26	27	27	27
"Chan,Wen:AE-5340-001-STRUCTURAL ASPECTS OF DESIGN"	Mean	4.6	4.6	4.6	4.8	4.6	4.6
	N	5	5	5	5	5	5
"Chan,Wen:AE-5340-002-STRUCTURAL ASPECTS OF DESIGN"	Mean	3	1	2	3	5	2
	N	1	1	1	1	1	1
"Chan,Wen:MAE-2312-001-SOLID MECHANICS"	Mean	4.3871	4.1935	4.2903	4.6129	4.6452	4.4194
	N	31	31	31	31	31	31
"Chan,Wen:MAE-4301-002-SPEC TOPICS MECH & AERO ENGR"	Mean	4.5	4.5	3.5	4	4.5	2.5
	N	2	2	2	2	2	2
"Chan,Wen:ME-5339-001-STRUCTURAL ASPECTS OF DESIGN (2102-24800)"	Mean	4.4706	4.25	4.1176	4.4706	4.5882	4.1765
	N	17	16	17	17	17	17
"Chan,Wen:ME-5339-002-STRUCTURAL ASPECTS OF DESIGN (2102-24801)"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Chang,Woo-Suk:BIOL-3444-001-GENERAL MICROBIOLOGY"	Mean	4.4559	4.3333	4.2941	4.5735	4.6324	4.5294
	N	68	69	68	68	68	68
"Channon,Lucinda:ENGL-1302-002-CRITICAL THINK, READ, WRITE"	Mean	4	3.8824	4.2353	4.1765	4.6471	3.9375
	N	17	17	17	17	17	16
"Channon,Lucinda:ENGL-1302-010-CRITICAL THINK, READ, WRITE"	Mean	4.2778	4.2222	4.3889	4.4444	4.3889	4.4444
	N	18	18	18	18	18	18
"Chao,Shih-Ho:CE-3341-001-STRUCTURAL ANALYSIS"	Mean	4.05	4.3333	4.3	4.619	4.5	4.2857
	N	20	21	20	21	20	21
"Chao,Shih-Ho:CE-4363-001-FUND OF PRESTRESSED CONCRETE (2102-21120)"	Mean	5	5	5	5	5	5
	N	2	2	2	2	2	2
"Chao,Shih-Ho:CE-5309-001-PRESTRESSED CONCRETE (2102-21130)"	Mean	4.7857	4.8571	4.8571	4.9286	4.7857	4.8571
	N	14	14	14	14	14	14
"Chao,Shih-Ho:CE-5309-002-PRESTRESSED CONCRETE (2102-21131)"	Mean	4.6667	4.3333	4.3333	4.6667	4.3333	4
	N	3	3	3	3	3	2
"Chapa,Joe:THEA-2352-001-ACTING II: SCENE STUDY"	Mean	4.6667	4.6667	4.3333	4.6667	4.5	4.8333
	N	12	12	12	12	12	12
"Chapa,Joe:THEA-3346-001-STAGE COMBAT"	Mean	4.6667	4.8	4.8	4.6	4.4667	4.6667
	N	15	15	15	15	15	15
"Chapa,Joe:THEA-4391-005-CONFERENCE COURSE"	Mean	5	5	5	5	5	5
	N	2	2	2	2	2	2
"Chasteen,Hayden:GEOL-1426-004-EARTH HISTORY"	Mean	4.3684	4.2632	3.9474	4.5789	4.4211	4.2632
	N	19	19	19	19	19	19
"Chatterjee,Karishma:COMM-4325-001-COMMUNICATION HISTORY"	Mean	4.3333	4.2174	4.4167	4.625	4.625	4.6087
	N	24	23	24	24	24	23
"Chatterjee,Karishma:COMS-3310-001-GROUP COMMUNICATION THEORY"	Mean	4.4286	4.4762	4.5714	4.6667	4.619	4.619
	N	21	21	21	21	21	21
"Chatterjee,Karishma:COMS-3316-001-COMMUNICATION HUMAN RELATIONS"	Mean	4.8462	4.64	4.6538	4.8077	4.8462	4.7308
	N	26	25	26	26	26	26
"Chave,George:MUSI-2227-001-COMPOSITION TECHNIQUES"	Mean	4.875	4.75	4.875	4.8889	4.8889	5
	N	8	8	8	9	9	9
"Chave,George:MUSI-2326-001-THEORY & HARMONY IV"	Mean	4.4167	4.4545	4.7826	4.5	4.7083	4.8333
	N	24	22	23	24	24	24
"Chave,George:MUSI-3393-001-COMPOSITION II"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Chave,George:MUSI-4301-001-ORCHESTRATION"	Mean	4.6667	4.6	4.6129	4.6774	4.7419	4.8387
	N	30	30	31	31	31	31
"Chave,George:MUSI-4493-001-COMPOSITION IV"	Mean	5	5	5	5	5	5
	N	2	1	1	2	2	2
"Che,Hao:CSE-5344-001-COMPUTER NETWORKS"	Mean	3.9091	3.8636	4.2174	4.2609	4.1739	4.0435
	N	22	22	23	23	23	23
"Che,Hao:CSE-5347-001-TELECOM NETWORKS DESIGN"	Mean	3.6875	3.5938	3.8438	3.9667	3.9688	3.7667
	N	32	32	32	30	32	30
"Chen,Benito:MATH-3315-001-MATHEMATICAL MODELS"	Mean	4.1	4.1111	4	4.4	4.25	4
	N	10	9	9	10	8	10
"Chen,Benito:MATH-5308-001-MATHEMATICAL ANALYSIS II"	Mean	3.5	3.4545	3.9091	3.75	4.3333	3.5
	N	12	11	11	12	12	12
"Chen,Caixia:MATH-1302-002-COLLEGE ALGEBRA"	Mean	4.1667	4.1935	3.7667	4.2667	4.0968	4.5333
	N	30	31	30	30	31	30
"Chen,Chien-Chung:MARK-3321-011-PRINCIPLES OF MARKETING"	Mean	2.9	2.9474	2.9524	3	3.4	2.15
	N	20	19	21	21	20	20
"Chen,Han-Sheng:FINA-3315-001-INVESTMENTS"	Mean	4.2	3.6786	4.1379	4.2333	4.5862	3.9
	N	30	28	29	30	29	30
"Chen,Han-Sheng:FINA-4315-003-ADVBUSINESS FINANCIAL ANALYSIS"	Mean	3.7105	3.4857	3.8649	4.1053	4.1892	3.3421
	N	38	35	37	38	37	38
"Chen,Lin:MATH-1315-001-COLLEGE ALGEBRA ECON/BUS ANLYS"	Mean	3.5	3.3462	3.36	3.7391	3.72	3.08
	N	24	26	25	23	25	25
"Chen,Victoria:IE-5318-004-ADVANCED ENGINEERING STATISTIC"	Mean	4.4545	4.3636	4.3636	4.7273	4.5455	4.6364
	N	11	11	11	11	11	11
"Chen,Victoria:IE-5318-005-ADVANCED ENGINEERING STATISTIC"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Chen,Victoria:IE-6308-001-DESIGN OF EXPERIMENTS (2102-22310)"	Mean	4.7333	4.8	4.6667	4.8667	4.9333	4.8
	N	15	15	15	15	15	15
"Chen,Victoria:IE-6308-002-DESIGN OF EXPERIMENTS (2102-22311)"	Mean	5	5	5	5	5	5
	N	3	3	3	3	3	3
"Chen,Wei:PHYS-1444-004-GENERAL TECHNICAL PHYSICS II"	Mean	3.4865	3.1351	3.8056	3.7297	3.8889	3.4324
	N	37	37	36	37	36	37
"Cherian,Holly:BIOL-3352-001-INTRO FORENSIC LAB SCIENCE"	Mean	4.2174	4.0435	4.4783	4.1304	4.3478	4.2609
	N	23	23	23	23	23	23
"Chiao,Jung-Chih:EE-6345-001-ADVANCED MEMS"	Mean	4.4545	4.4545	4.7273	4.4545	4.6	4.375
	N	11	11	11	11	10	8
"Chiarello,Barbara:ENGL-2303-003-TOPICS IN LIT"	Mean	3.8	3.9048	4.4286	4.4286	4.2857	3.7
	N	20	21	21	21	21	20
"Chiarello,Barbara:ENGL-3347-002-MULTICULTUR LIT"	Mean	4.2778	4.4444	4.6667	4.8235	4.6667	4.2222
	N	18	18	18	17	18	18
"Chiasson,Charles:GREK-2313-001-GREEK LEVEL III"	Mean	4.75	4.5	4.75	4.75	4.75	4.75
	N	4	4	4	4	4	4
"Chiessa,Dennis:ARCH-4344-001-CONCEPTUAL DRAWING"	Mean	4	3.7778	4.6667	4.2222	3.7778	4.3333
	N	9	9	9	9	9	9
"Chiessa,Dennis:ARCH-5344-001-CONCEPTUAL DRAWING"	Mean	4.1667	4.3333	4.5	4.3333	4.3333	4.5
	N	6	6	6	6	6	6
"Chisholm,Basil:ENGL-1302-037-CRITICAL THINK, READ, WRITE"	Mean	4.0625	3.8824	4	3.9412	4.0588	3.7647
	N	16	17	15	17	17	17
"Chisholm,Basil:ENGL-1302-046-CRITICAL THINK, READ, WRITE"	Mean	3.2308	3.0714	3.9286	3.2857	4.5	2.9231
	N	13	14	14	14	14	13
"Cho,Young-Hyun:MUSI-0109-003-KEYBOARD ENSEMBLE (2102-25706)"	Mean	4	4.25	4	4.5	4.75	4.25
	N	4	4	4	4	4	4
"Cho,Young-Hyun:MUSI-0109-004-KEYBOARD ENSEMBLE (2102-25707)"	Mean	5	5	5	5	5	4.5
	N	2	2	2	2	2	2
"Cho,Young-Hyun:MUSI-0174-007-SECONDARY KEYBOARD"	Mean	4.7778	4.75	4.7778	4.6667	4.5556	4.7778
	N	9	8	9	9	9	9
"Cho,Young-Hyun:MUSI-1242-002-PRIVATE LESSONS IN PIANO"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Cho,Young-Hyun:MUSI-1243-002-PRIVATE LESSONS IN PIANO"	Mean	4.6667	4.5	4.6667	4.6667	4.6667	4.3333
	N	3	2	3	3	3	3
"Cho,Young-Hyun:MUSI-2243-002-PRIVATE LESSONS IN PIANO"	Mean	2	1	4	3	4	2
	N	1	1	1	1	1	1
"Cho,Young-Hyun:MUSI-3242-002-PRIVATE LESSONS IN PIANO"	Mean	4	5	5	5	5	4
	N	1	1	1	1	1	1
"Cho,Young-Hyun:MUSI-5321-002-PRIVATE LESSONS IN PIANO"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Choi,Chi-Young:ECON-3303-004-MONEY & BANKING"	Mean	4.48	4.4167	4.5417	4.64	4.28	4.12
	N	25	24	24	25	25	25
"Choi,Chi-Young:ECON-5312-001-MACROECONOMIC THEORY"	Mean	3.7727	4.2273	4.6818	4.8182	4.5909	4.15
	N	22	22	22	22	22	20
"Choi,Hyeok:CE-5300-001-TOPICS IN CIVIL ENGINEERING"	Mean	3.5	3.6667	3.8333	4	4.5	3.3333
	N	6	6	6	6	6	6
"Choi,Jinny:SPAN-4332-001-SPANISH DIALECTOLOGY"	Mean	4.8	4.4211	4.65	4.95	4.6	4.6
	N	20	19	20	20	20	20
"Choi,Jinny:SPAN-5302-001-SPAN DIALECT"	Mean	4.45	4.4	4.35	4.6	4.5	4.65
	N	20	20	20	20	20	20
"Choi,Yujeong:LING-2301-004-STUDY OF HUMAN LANGUAGES"	Mean	4.2857	4.3571	4.5714	4.7143	4.5	4.5385
	N	14	14	14	14	14	13
"Choi,Yujeong:LING-2301-005-STUDY OF HUMAN LANGUAGES"	Mean	4.2	3.6	4.4	4	4.2	3.8
	N	5	5	5	5	5	5
"Chonko,Lawrence:BCOM-5375-001-ADV BUS COMM THEOR & PRAC"	Mean	3.25	3.6667	4.0833	3.5417	4.4583	3.75
	N	24	24	24	24	24	24
"Chonko,Lawrence:MARK-5340-001-MARKETING STRATEGY"	Mean	4.5	4.3077	4.8462	4.8462	4.9231	4.8462
	N	12	13	13	13	13	13
"Christensen,Shawn:BIOL-4331-001-ADVANCED MOLECULAR BIOLOGY"	Mean	3.9444	3.6667	3.7222	4.1111	4.2222	3.8889
	N	18	18	18	18	18	18
"Christensen,Shawn:BIOL-5331-001-ADVANCED MOLECULAR BIOLOGY"	Mean	4.1111	4.1111	4.3333	4.3333	4.3333	4
	N	9	9	9	9	9	9
"Christie,Rechelle:ENGL-1302-501-CRITICAL THINK, READ, WRITE"	Mean	4.125	4.125	4	4.25	4	4
	N	8	8	8	8	8	8
"Christie,Rechelle:ENGL-1302-502-CRITICAL THINK, READ, WRITE"	Mean	4.2308	4.2308	4.2308	4.2308	4.2308	4.3077
	N	13	13	13	13	13	13
"Christie,Rechelle:ENGL-1302-503-CRITICAL THINK, READ, WRITE"	Mean	4.75	4.625	4.625	4.75	4.125	4.375
	N	8	8	8	8	8	8
"Christie,Rechelle:ENGL-1302-702-CRITICAL THINK, READ, WRITE"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Christie,Rechelle:ENGL-2303-006-TOPICS IN LIT"	Mean	4.6	4.52	4.56	4.64	4.5	4.52
	N	25	25	25	25	24	25
"Christie,Thomas:PREL-2338-001-INTRO PUBLIC RELATIONS"	Mean	4.4848	4.5312	4.5333	4.6875	4.3226	4.5625
	N	33	32	30	32	31	32
"Christie,Thomas:PREL-4316-001-PUBLIC RELATIONS CAMPAIGNS"	Mean	4.3333	4.2143	4.3077	4.3571	4.4615	4.3571
	N	12	14	13	14	13	14
"Chudoba,Bernd:AE-5301-003-ADV TOPICS AEROSPACE ENGR"	Mean	4.5	4.5	4.75	4.75	4.75	4.5
	N	4	4	4	4	4	4
"Chudoba,Bernd:MAE-4301-008-SPEC TOPICS MECH & AERO ENGR"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Chudoba,Bernd:MAE-4351-001-AEROSPACE VEHICLE DESIGN II (2102-24788)"	Mean	4	4.1579	4.5	4.45	4.2	4.25
	N	20	19	20	20	20	20
"Chuong,Cheng-Jen:BE-5335-002-BIOL MATS, MECHS, & PROCESSES"	Mean	3.4	2.7	3.3333	3.7778	3.5556	2.7
	N	10	10	9	9	9	10
"Cichock,Mark:POLS-2311-001-GOVT OF U S"	Mean	4.2857	4.1628	4.1463	4.7209	4.5	4.3415
	N	42	43	41	43	42	41
"Cichock,Mark:POLS-2311-004-GOVT OF U S"	Mean	4.3913	4.2151	4.2283	4.6087	4.1538	4.2717
	N	92	93	92	92	91	92
"Cichock,Mark:POLS-4362-001-RUSSIA TODAY"	Mean	4.375	4.5	4.7083	4.6087	4.7083	4.6667
	N	24	24	24	23	24	24
"Cid,Ximena:SCIE-3301-001-PHYSICAL SCIENCE - PHYSICS"	Mean	4.1429	3.619	4	4.0952	4.5238	3.9048
	N	21	21	21	21	21	21
"Cipher,Daisha:NURS-6324-001-CLINICAL INFORMATION SYSTEMS"	Mean	4.8333	4.8333	4.8333	4.6667	5	4.8333
	N	6	6	6	6	6	6
"Cipher,Daisha:NURS-6390-016-TOPICS IN NURSING"	Mean	4.875	4.8889	4.7778	5	4.8889	4.8889
	N	8	9	9	9	9	9
"Clanton,Kara:ENGL-1301-018-EXPOS WRITING"	Mean	4.75	4.75	4.75	5	4.75	4.9167
	N	12	12	12	12	12	12
"Clark,Andrew:BCMN-3340-001-ELECTRONIC NEWS"	Mean	3.9091	4.1818	4.3636	4.6364	4.6364	4.5
	N	11	11	11	11	11	10
"Clark,Andrew:BCMN-4350-001-TELEVISION REPORTING II"	Mean	4.75	4.4286	4.5	4.625	4.375	4.2857
	N	8	7	8	8	8	7
"Clark,Cynthia:HIST-1311-001-HISTORY OF U.S."	Mean	4.6509	4.6415	4.5566	4.7547	4.5849	4.7525
	N	106	106	106	106	106	101
"Clark,Cynthia:HIST-1311-002-HISTORY OF U.S."	Mean	4.6017	4.6525	4.5812	4.7043	4.6154	4.681
	N	118	118	117	115	117	116
"Clark,Cynthia:HIST-1311-003-HISTORY OF U.S."	Mean	4.6765	4.549	4.4752	4.7273	4.62	4.7327
	N	102	102	101	99	100	101
"Clark,Cynthia:HIST-1312-001-HISTORY OF U.S."	Mean	4.378	4.2656	4.2248	4.2791	4.3047	4.3594
	N	127	128	129	129	128	128
"Clark,Eric:COMM-4318-001-MEDIA SALES AND PROMOTION"	Mean	4.75	4.75	4.9	4.85	4.75	4.85
	N	20	20	20	20	20	20
"Clark,Jill:POLS-2312-001-STATE & LOCAL GOVT"	Mean	4.3976	4	3.85	4.5976	4.0366	4.1875
	N	83	79	80	82	82	80
"Clark,Jill:POLS-3305-001-GOVT URBAN AMER"	Mean	4.8824	4.7647	4.8235	4.8235	4.8235	4.8235
	N	17	17	17	17	17	17
"Clark,Jill:POLS-5324-001-PUBLIC POLICY ANALYSIS"	Mean	4.5882	4.4118	4.7647	4.7647	4.7059	4.5882
	N	17	17	17	17	17	17
"Clark,Susan:SOCW-6325-003-ADVANCED MICRO PRACTICE"	Mean	4.3214	4.5556	4.6071	4.7037	4.5926	4.25
	N	28	27	28	27	27	28
"Cleghorn,Naomi:ANTH-2307-001-BIOLOGICAL ANTHROPOLOGY"	Mean	4.0789	3.8684	4.1842	4.4211	4.5789	4.2105
	N	38	38	38	38	38	38
"Cleghorn,Naomi:ANTH-2339-001-ARCHEOLOGY"	Mean	4.15	3.8	4.1	4.25	4.6	3.95
	N	20	20	20	20	20	20
"Cleland,John:BIOL-4354-001-ENVIRONMENTAL HEALTH"	Mean	4.4545	4.2989	4.2184	4.5116	4.046	4.3793
	N	88	87	87	86	87	87
"Cleland,John:EVSE 5321 001"	Mean	4.5	4.5	4	4.75	4.5	4.5
	N	4	4	4	4	4	4
"Clive,Mark:ART-4361-001-3-D ANIMATION"	Mean	4.25	4	4.5	4.5	4.5714	4.625
	N	8	8	8	8	7	8
"Clive,Mark:ART-4367-001-TWO DIMENSIONAL ANIMATION"	Mean	4.2857	4	4.1429	4.2857	4.5714	4.4286
	N	7	7	7	7	7	7
"Clive,Mark:ART-4397-001-SPECIAL STUDIES FILM/VIDEO"	Mean	4.1818	4.1818	4.4545	3.9091	4.6364	4.3636
	N	11	11	11	11	11	11
"Cobb,Norman:SOCW-6336-001-DIR PRACTICE IN MENTAL HEALTH"	Mean	4.913	4.8636	4.6522	4.9167	4.7273	4.8261
	N	23	22	23	24	22	23
"Cobb,Norman:SOCW-6336-002-DIR PRACTICE IN MENTAL HEALTH"	Mean	4.7	4.75	4.6842	4.9	4.75	4.8
	N	20	20	19	20	20	20
"Cobos,Geraldina:SPAN-3314-003-ADVANCED SPANISH GRAMMAR"	Mean	4.8571	5	4.8571	4.8333	4.5714	4.8571
	N	7	7	7	6	7	7
"Cobos,Geraldina:SPAN-3315-004-COMPOSITION THROUGH LITERATURE"	Mean	4.7857	4.6667	4.8	4.6667	4.4667	4.8
	N	14	15	15	15	15	15
"Cochrum,Alan:ENGL-1302-040-CRITICAL THINK, READ, WRITE"	Mean	4	3.7273	3.9091	4.4545	4.1818	3.1818
	N	11	11	11	11	11	11
"Cochrum,Alan:ENGL-1302-047-CRITICAL THINK, READ, WRITE"	Mean	2.875	3.1429	3.75	3.5714	3.75	3
	N	8	7	8	7	8	7
"Coggin,Bruce:ENGL-2329-002-AMERICAN LIT"	Mean	4.1818	4.1765	4.2941	4.5	4.2647	4.2121
	N	33	34	34	34	34	33
"Coggin,Bruce:ENGL-3340-001-HIST AMER LIT"	Mean	4.3478	4.1739	4.4348	4.6364	4.5455	4.1818
	N	23	23	23	22	22	22
"Cole,Richard:URPA-5302-001-URBAN RESEARCH AND ANALYSIS"	Mean	4.3125	4.1875	4.125	4.4667	4.5333	4.5
	N	16	16	16	15	15	16
"Cole,Richard:URPA-5309-001-INTERGOVERNMENTAL RELATIONS"	Mean	4.75	4.6786	4.2963	4.7857	4.7857	4.7857
	N	28	28	27	28	28	28
"Cole,Stephanie:HIST-3300-004-INTRO TO HISTORICAL RESEARCH"	Mean	4.5	4.6667	4.6667	4.6667	4.8333	4.75
	N	12	12	12	12	12	12
"Cole,Stephanie:HIST-3309-001-WOMEN AND WORK"	Mean	4.5	4.55	4.7	4.6	4.55	4.55
	N	20	20	20	20	20	20
"Cole,Stephanie:WOMS 3309-001"	Mean	4.6667	4.3	4.5556	4.6	4.4	4.6
	N	9	10	9	10	10	10
"Coleman,Scott:PSYC 1315 006"	Mean	3.8571	3.7358	3.6071	4.0536	3.625	3.8
	N	56	53	56	56	56	55
"Coleman,Scott:PSYC 2317 001"	Mean	3.9706	3.8824	3.9848	4.3235	4.0455	4.0588
	N	68	68	66	68	66	68
"Coleman,Scott:PSYC 6336"	Mean	3.875	4.25	4.375	4.625	4.25	3.875
	N	8	8	8	8	8	8
"Coleman,Scott:WOMS 2317-001"	Mean	4.1667	4.3333	3.8333	4.6667	4.6667	4.1667
	N	6	6	6	6	6	6
"Collins,Denise:ECED-4314-001-CREATV ARTS & SOC ST FOR EC-6"	Mean	4.6905	4.5476	4.5238	4.5952	4.5714	4.7381
	N	42	42	42	42	42	42
"Collins,Denise:ECED-4314-003-CREATV ARTS & SOC ST FOR EC-6"	Mean	4.8636	4.8182	4.7727	4.9091	4.8095	4.8182
	N	22	22	22	22	21	22
"Collins,Denise:ECED-4314-005-CREATV ARTS & SOC ST FOR EC-6"	Mean	4.75	4.7917	4.8333	4.875	4.75	4.8333
	N	24	24	24	24	24	24
"Connor,Michan:INTS-4301-001-INTS RESEARCH PROCESS"	Mean	3.4583	2.9167	3.3333	3.4375	4.1042	2.8542
	N	48	48	48	48	48	48
"Connor,Michan:INTS-4301-004-INTS RESEARCH PROCESS"	Mean	3.7551	3.16	3.62	3.76	3.98	3.0408
	N	49	50	50	50	50	49
"Connor,Michan:INTS-4388-001-SPC TOP INTERDISCIPLINARY STDY"	Mean	4.2222	4.5556	5	4.7778	4.8889	4.3333
	N	9	9	9	9	9	9
"Conway,Christopher:MAS-3312-001-LATIN AM CULTURE/CIVILIZATION"	Mean	4	4	4	4	4	4
	N	2	2	2	2	2	2
"Conway,Christopher:MODL-5310-001-THEO LIT CUL"	Mean	4.8	4.8	4.6	4.8667	4.7333	4.7333
	N	15	15	15	15	15	15
"Conway,Christopher:SPAN-3312-001-LATIN AM CULTURE/CIVILIZATION"	Mean	4.5882	4.6471	4.7059	4.7059	4.7059	4.6471
	N	17	17	17	17	17	17
"Cook,Christi:ENGL-1302-040-CRITICAL THINK, READ, WRITE"	Mean	4.5455	4.5455	4.6364	4.7273	4.4545	4.3636
	N	11	11	11	11	11	11
